Foreground,Background,Contrast Ratio,WCAG Level
merigold.intense,merigold.darken,3.36,Fail
merigold.intense,orange.faded,2.53,Fail
merigold.intense,orange.regular,1.39,Fail
merigold.intense,orange.intense,1.24,Fail
merigold.intense,orange.darken,3.7,Fail
merigold.intense,rose.faded,2.32,Fail
merigold.intense,rose.regular,1.13,Fail
merigold.intense,rose.intense,1.51,Fail
merigold.intense,rose.darken,3.93,Fail
merigold.intense,background.faded,3.66,Fail
merigold.intense,background.regular,4.44,Fail
merigold.intense,background.intense,4.65,AA
merigold.intense,background.darken,4.92,AA
merigold.intense,foreground.faded,3.13,Fail
merigold.intense,foreground.regular,3.47,Fail
merigold.intense,foreground.intense,2.75,Fail
merigold.intense,foreground.darken,1.69,Fail
merigold.darken,ocean.faded,8.48,AAA
merigold.darken,ocean.regular,3.07,Fail
merigold.darken,ocean.intense,1.59,Fail
merigold.darken,ocean.darken,1.14,Fail
merigold.darken,mauve.faded,8.07,AAA
merigold.darken,mauve.regular,3.84,Fail
merigold.darken,mauve.intense,1.31,Fail
merigold.darken,mauve.darken,1.16,Fail
merigold.darken,pistachio.faded,9.66,AAA
merigold.darken,pistachio.regular,4.91,AA
merigold.darken,pistachio.intense,2.22,Fail
merigold.darken,pistachio.darken,1.06,Fail
merigold.darken,olive.faded,9.51,AAA
merigold.darken,olive.regular,6.13,AA
merigold.darken,olive.intense,2.6,Fail
merigold.darken,olive.darken,1.05,Fail
merigold.darken,merigold.faded,9.69,AAA
merigold.darken,merigold.regular,5.76,AA
merigold.darken,merigold.intense,3.36,Fail
merigold.darken,orange.faded,8.52,AAA
merigold.darken,orange.regular,4.67,AA
merigold.darken,orange.intense,2.71,Fail
merigold.darken,orange.darken,1.1,Fail
merigold.darken,rose.faded,7.8,AAA
merigold.darken,rose.regular,2.97,Fail
merigold.darken,rose.intense,2.23,Fail
merigold.darken,rose.darken,1.17,Fail
merigold.darken,background.faded,1.09,Fail
merigold.darken,background.regular,1.32,Fail
merigold.darken,background.intense,1.38,Fail
merigold.darken,background.darken,1.46,Fail
merigold.darken,foreground.faded,10.52,AAA
merigold.darken,foreground.regular,11.66,AAA
merigold.darken,foreground.intense,9.24,AAA
merigold.darken,foreground.darken,5.68,AA
orange.faded,ocean.faded,1.01,Fail
orange.faded,ocean.regular,2.78,Fail
orange.faded,ocean.intense,5.35,AA
orange.faded,ocean.darken,9.68,AAA
orange.faded,mauve.faded,1.06,Fail
orange.faded,mauve.regular,2.22,Fail
orange.faded,mauve.intense,6.48,AA
orange.faded,mauve.darken,9.87,AAA
orange.faded,pistachio.faded,1.13,Fail
orange.faded,pistachio.regular,1.73,Fail
orange.faded,pistachio.intense,3.84,Fail
orange.faded,pistachio.darken,9.03,AAA
orange.faded,olive.faded,1.12,Fail
orange.faded,olive.regular,1.39,Fail
orange.faded,olive.intense,3.28,Fail
orange.faded,olive.darken,8.94,AAA
orange.faded,merigold.faded,1.14,Fail
orange.faded,merigold.regular,1.48,Fail
orange.faded,merigold.intense,2.53,Fail
orange.faded,merigold.darken,8.52,AAA
orange.faded,orange.regular,1.83,Fail
orange.faded,orange.intense,3.15,Fail
orange.faded,orange.darken,9.38,AAA
orange.faded,rose.faded,1.09,Fail
orange.faded,rose.regular,2.87,Fail
orange.faded,rose.intense,3.83,Fail
orange.faded,rose.darken,9.97,AAA
orange.faded,background.faded,9.27,AAA
orange.faded,background.regular,11.26,AAA
orange.faded,background.intense,11.8,AAA
orange.faded,background.darken,12.47,AAA
orange.faded,foreground.faded,1.23,Fail
orange.faded,foreground.regular,1.37,Fail
orange.faded,foreground.intense,1.08,Fail
orange.faded,foreground.darken,1.5,Fail
orange.regular,ocean.faded,1.82,Fail
orange.regular,ocean.regular,1.52,Fail
orange.regular,ocean.intense,2.93,Fail
orange.regular,ocean.darken,5.3,AA
orange.regular,mauve.faded,1.73,Fail
orange.regular,mauve.regular,1.22,Fail
orange.regular,mauve.intense,3.55,Fail
orange.regular,mauve.darken,5.41,AA
orange.regular,pistachio.faded,2.07,Fail
orange.regular,pistachio.regular,1.05,Fail
orange.regular,pistachio.intense,2.1,Fail
orange.regular,pistachio.darken,4.95,AA
orange.regular,olive.faded,2.04,Fail
orange.regular,olive.regular,1.31,Fail
orange.regular,olive.intense,1.8,Fail
orange.regular,olive.darken,4.9,AA
orange.regular,merigold.faded,2.08,Fail
orange.regular,merigold.regular,1.23,Fail
orange.regular,merigold.intense,1.39,Fail
orange.regular,merigold.darken,4.67,AA
orange.regular,orange.faded,1.83,Fail
orange.regular,orange.intense,1.72,Fail
orange.regular,orange.darken,5.14,AA
orange.regular,rose.faded,1.67,Fail
orange.regular,rose.regular,1.57,Fail
orange.regular,rose.intense,2.1,Fail
orange.regular,rose.darken,5.46,AA
orange.regular,background.faded,5.08,AA
orange.regular,background.regular,6.17,AA
orange.regular,background.intense,6.46,AA
orange.regular,background.darken,6.83,AA
orange.regular,foreground.faded,2.25,Fail
orange.regular,foreground.regular,2.5,Fail
orange.regular,foreground.intense,1.98,Fail
orange.regular,foreground.darken,1.22,Fail
orange.intense,ocean.faded,3.13,Fail
orange.intense,ocean.regular,1.13,Fail
orange.intense,ocean.intense,1.7,Fail
orange.intense,ocean.darken,3.08,Fail
orange.intense,mauve.faded,2.98,Fail
orange.intense,mauve.regular,1.42,Fail
orange.intense,mauve.intense,2.06,Fail
orange.intense,mauve.darken,3.14,Fail
orange.intense,pistachio.faded,3.57,Fail
orange.intense,pistachio.regular,1.81,Fail
orange.intense,pistachio.intense,1.22,Fail
orange.intense,pistachio.darken,2.87,Fail
orange.intense,olive.faded,3.51,Fail
orange.intense,olive.regular,2.26,Fail
orange.intense,olive.intense,1.04,Fail
orange.intense,olive.darken,2.84,Fail
orange.intense,merigold.faded,3.58,Fail
orange.intense,merigold.regular,2.13,Fail
orange.intense,merigold.intense,1.24,Fail
orange.intense,merigold.darken,2.71,Fail
orange.intense,orange.faded,3.15,Fail
orange.intense,orange.regular,1.72,Fail
orange.intense,orange.darken,2.98,Fail
orange.intense,rose.faded,2.88,Fail
orange.intense,rose.regular,1.1,Fail
orange.intense,rose.intense,1.22,Fail
orange.intense,rose.darken,3.17,Fail
orange.intense,background.faded,2.95,Fail
orange.intense,background.regular,3.58,Fail
orange.intense,background.intense,3.75,Fail
orange.intense,background.darken,3.96,Fail
orange.intense,foreground.faded,3.88,Fail
orange.intense,foreground.regular,4.3,Fail
orange.intense,foreground.intense,3.41,Fail
orange.intense,foreground.darken,2.1,Fail
orange.darken,ocean.faded,9.33,AAA
orange.darken,ocean.regular,3.37,Fail
orange.darken,ocean.intense,1.75,Fail
orange.darken,ocean.darken,1.03,Fail
orange.darken,mauve.faded,8.88,AAA
orange.darken,mauve.regular,4.22,Fail
orange.darken,mauve.intense,1.45,Fail
orange.darken,mauve.darken,1.05,Fail
orange.darken,pistachio.faded,10.64,AAA
orange.darken,pistachio.regular,5.41,AA
orange.darken,pistachio.intense,2.44,Fail
orange.darken,pistachio.darken,1.04,Fail
orange.darken,olive.faded,10.47,AAA
orange.darken,olive.regular,6.75,AA
orange.darken,olive.intense,2.86,Fail
orange.darken,olive.darken,1.05,Fail
orange.darken,merigold.faded,10.67,AAA
orange.darken,merigold.regular,6.34,AA
orange.darken,merigold.intense,3.7,Fail
orange.darken,merigold.darken,1.1,Fail
orange.darken,orange.faded,9.38,AAA
orange.darken,orange.regular,5.14,AA
orange.darken,orange.intense,2.98,Fail
orange.darken,rose.faded,8.58,AAA
orange.darken,rose.regular,3.27,Fail
orange.darken,rose.intense,2.45,Fail
orange.darken,rose.darken,1.06,Fail
orange.darken,background.faded,1.01,Fail
orange.darken,background.regular,1.2,Fail
orange.darken,background.intense,1.26,Fail
orange.darken,background.darken,1.33,Fail
orange.darken,foreground.faded,11.58,AAA
orange.darken,foreground.regular,12.84,AAA
orange.darken,foreground.intense,10.17,AAA
orange.darken,foreground.darken,6.25,AA
rose.faded,ocean.faded,1.09,Fail
rose.faded,ocean.regular,2.54,Fail
rose.faded,ocean.intense,4.89,AA
rose.faded,ocean.darken,8.85,AAA
rose.faded,mauve.faded,1.03,Fail
rose.faded,mauve.regular,2.03,Fail
rose.faded,mauve.intense,5.93,AA
rose.faded,mauve.darken,9.03,AAA
rose.faded,pistachio.faded,1.24,Fail
rose.faded,pistachio.regular,1.59,Fail
rose.faded,pistachio.intense,3.51,Fail
rose.faded,pistachio.darken,8.26,AAA
rose.faded,olive.faded,1.22,Fail
rose.faded,olive.regular,1.27,Fail
rose.faded,olive.intense,3.0,Fail
rose.faded,olive.darken,8.18,AAA
rose.faded,merigold.faded,1.24,Fail
rose.faded,merigold.regular,1.35,Fail
rose.faded,merigold.intense,2.32,Fail
rose.faded,merigold.darken,7.8,AAA
rose.faded,orange.faded,1.09,Fail
rose.faded,orange.regular,1.67,Fail
rose.faded,orange.intense,2.88,Fail
rose.faded,orange.darken,8.58,AAA
rose.faded,rose.regular,2.63,Fail
rose.faded,rose.intense,3.5,Fail
rose.faded,rose.darken,9.12,AAA
rose.faded,background.faded,8.48,AAA
rose.faded,background.regular,10.3,AAA
rose.faded,background.intense,10.79,AAA
rose.faded,background.darken,11.41,AAA
rose.faded,foreground.faded,1.35,Fail
rose.faded,foreground.regular,1.5,Fail
rose.faded,foreground.intense,1.19,Fail
rose.faded,foreground.darken,1.37,Fail
rose.regular,ocean.faded,2.86,Fail
rose.regular,ocean.regular,1.03,Fail
rose.regular,ocean.intense,1.86,Fail
rose.regular,ocean.darken,3.37,Fail
rose.regular,mauve.faded,2.72,Fail
rose.regular,mauve.regular,1.29,Fail
rose.regular,mauve.intense,2.26,Fail
rose.regular,mauve.darken,3.44,Fail
rose.regular,pistachio.faded,3.26,Fail
rose.regular,pistachio.regular,1.66,Fail
rose.regular,pistachio.intense,1.34,Fail
rose.regular,pistachio.darken,3.14,Fail
rose.regular,olive.faded,3.21,Fail
rose.regular,olive.regular,2.07,Fail
rose.regular,olive.intense,1.14,Fail
rose.regular,olive.darken,3.11,Fail
rose.regular,merigold.faded,3.27,Fail
rose.regular,merigold.regular,1.94,Fail
rose.regular,merigold.intense,1.13,Fail
rose.regular,merigold.darken,2.97,Fail
rose.regular,orange.faded,2.87,Fail
rose.regular,orange.regular,1.57,Fail
rose.regular,orange.intense,1.1,Fail
rose.regular,orange.darken,3.27,Fail
rose.regular,rose.faded,2.63,Fail
rose.regular,rose.intense,1.33,Fail
rose.regular,rose.darken,3.47,Fail
rose.regular,background.faded,3.23,Fail
rose.regular,background.regular,3.92,Fail
rose.regular,background.intense,4.11,Fail
rose.regular,background.darken,4.34,Fail
rose.regular,foreground.faded,3.55,Fail
rose.regular,foreground.regular,3.93,Fail
rose.regular,foreground.intense,3.11,Fail
rose.regular,foreground.darken,1.91,Fail
rose.intense,ocean.faded,3.8,Fail
rose.intense,ocean.regular,1.38,Fail
rose.intense,ocean.intense,1.4,Fail
rose.intense,ocean.darken,2.53,Fail
rose.intense,mauve.faded,3.62,Fail
rose.intense,mauve.regular,1.72,Fail
rose.intense,mauve.intense,1.69,Fail
rose.intense,mauve.darken,2.58,Fail
rose.intense,pistachio.faded,4.34,Fail
rose.intense,pistachio.regular,2.21,Fail
rose.intense,pistachio.intense,1.0,Fail
rose.intense,pistachio.darken,2.36,Fail
rose.intense,olive.faded,4.27,Fail
rose.intense,olive.regular,2.75,Fail
rose.intense,olive.intense,1.17,Fail
rose.intense,olive.darken,2.34,Fail
rose.intense,merigold.faded,4.35,Fail
rose.intense,merigold.regular,2.59,Fail
rose.intense,merigold.intense,1.51,Fail
rose.intense,merigold.darken,2.23,Fail
rose.intense,orange.faded,3.83,Fail
rose.intense,orange.regular,2.1,Fail
rose.intense,orange.intense,1.22,Fail
rose.intense,orange.darken,2.45,Fail
rose.intense,rose.faded,3.5,Fail
rose.intense,rose.regular,1.33,Fail
rose.intense,rose.darken,2.6,Fail
rose.intense,background.faded,2.42,Fail
rose.intense,background.regular,2.94,Fail
rose.intense,background.intense,3.08,Fail
rose.intense,background.darken,3.26,Fail
rose.intense,foreground.faded,4.72,AA
rose.intense,foreground.regular,5.24,AA
rose.intense,foreground.intense,4.15,Fail
rose.intense,foreground.darken,2.55,Fail
rose.darken,ocean.faded,9.91,AAA
rose.darken,ocean.regular,3.58,Fail
rose.darken,ocean.intense,1.86,Fail
rose.darken,ocean.darken,1.03,Fail
rose.darken,mauve.faded,9.44,AAA
rose.darken,mauve.regular,4.49,Fail
rose.darken,mauve.intense,1.54,Fail
rose.darken,mauve.darken,1.01,Fail
rose.darken,pistachio.faded,11.3,AAA
rose.darken,pistachio.regular,5.75,AA
rose.darken,pistachio.intense,2.6,Fail
rose.darken,pistachio.darken,1.1,Fail
rose.darken,olive.faded,11.12,AAA
rose.darken,olive.regular,7.17,AAA
rose.darken,olive.intense,3.03,Fail
rose.darken,olive.darken,1.11,Fail
rose.darken,merigold.faded,11.33,AAA
rose.darken,merigold.regular,6.74,AA
rose.darken,merigold.intense,3.93,Fail
rose.darken,merigold.darken,1.17,Fail
rose.darken,orange.faded,9.97,AAA
rose.darken,orange.regular,5.46,AA
rose.darken,orange.intense,3.17,Fail
rose.darken,orange.darken,1.06,Fail
rose.darken,rose.faded,9.12,AAA
rose.darken,rose.regular,3.47,Fail
rose.darken,rose.intense,2.6,Fail
rose.darken,background.faded,1.08,Fail
rose.darken,background.regular,1.13,Fail
rose.darken,background.intense,1.18,Fail
rose.darken,background.darken,1.25,Fail
rose.darken,foreground.faded,12.3,AAA
rose.darken,foreground.regular,13.64,AAA
rose.darken,foreground.intense,10.81,AAA
rose.darken,foreground.darken,6.64,AA
background.faded,ocean.faded,9.22,AAA
background.faded,ocean.regular,3.33,Fail
background.faded,ocean.intense,1.73,Fail
background.faded,ocean.darken,1.04,Fail
background.faded,mauve.faded,8.78,AAA
background.faded,mauve.regular,4.17,Fail
background.faded,mauve.intense,1.43,Fail
background.faded,mauve.darken,1.06,Fail
background.faded,pistachio.faded,10.51,AAA
background.faded,pistachio.regular,5.34,AA
background.faded,pistachio.intense,2.41,Fail
background.faded,pistachio.darken,1.03,Fail
background.faded,olive.faded,10.35,AAA
background.faded,olive.regular,6.67,AA
background.faded,olive.intense,2.82,Fail
background.faded,olive.darken,1.04,Fail
background.faded,merigold.faded,10.54,AAA
background.faded,merigold.regular,6.27,AA
background.faded,merigold.intense,3.66,Fail
background.faded,merigold.darken,1.09,Fail
background.faded,orange.faded,9.27,AAA
background.faded,orange.regular,5.08,AA
background.faded,orange.intense,2.95,Fail
background.faded,orange.darken,1.01,Fail
background.faded,rose.faded,8.48,AAA
background.faded,rose.regular,3.23,Fail
background.faded,rose.intense,2.42,Fail
background.faded,rose.darken,1.08,Fail
background.faded,background.regular,1.21,Fail
background.faded,background.intense,1.27,Fail
background.faded,background.darken,1.35,Fail
background.faded,foreground.faded,11.44,AAA
background.faded,foreground.regular,12.68,AAA
background.faded,foreground.intense,10.05,AAA
background.faded,foreground.darken,6.18,AA
background.regular,ocean.faded,11.19,AAA
background.regular,ocean.regular,4.05,Fail
background.regular,ocean.intense,2.1,Fail
background.regular,ocean.darken,1.16,Fail
background.regular,mauve.faded,10.66,AAA
background.regular,mauve.regular,5.07,AA
background.regular,mauve.intense,1.74,Fail
background.regular,mauve.darken,1.14,Fail
background.regular,pistachio.faded,12.76,AAA
background.regular,pistachio.regular,6.49,AA
background.regular,pistachio.intense,2.93,Fail
background.regular,pistachio.darken,1.25,Fail
background.regular,olive.faded,12.57,AAA
background.regular,olive.regular,8.1,AAA
background.regular,olive.intense,3.43,Fail
background.regular,olive.darken,1.26,Fail
background.regular,merigold.faded,12.8,AAA
background.regular,merigold.regular,7.61,AAA
background.regular,merigold.intense,4.44,Fail
background.regular,merigold.darken,1.32,Fail
background.regular,orange.faded,11.26,AAA
background.regular,orange.regular,6.17,AA
background.regular,orange.intense,3.58,Fail
background.regular,orange.darken,1.2,Fail
background.regular,rose.faded,10.3,AAA
background.regular,rose.regular,3.92,Fail
background.regular,rose.intense,2.94,Fail
background.regular,rose.darken,1.13,Fail
background.regular,background.faded,1.21,Fail
background.regular,background.intense,1.05,Fail
background.regular,background.darken,1.11,Fail
background.regular,foreground.faded,13.9,AAA
background.regular,foreground.regular,15.4,AAA
background.regular,foreground.intense,12.21,AAA
background.regular,foreground.darken,7.5,AAA
background.intense,ocean.faded,11.73,AAA
background.intense,ocean.regular,4.24,Fail
background.intense,ocean.intense,2.21,Fail
background.intense,ocean.darken,1.22,Fail
background.intense,mauve.faded,11.17,AAA
background.intense,mauve.regular,5.31,AA
background.intense,mauve.intense,1.82,Fail
background.intense,mauve.darken,1.2,Fail
background.intense,pistachio.faded,13.37,AAA
background.intense,pistachio.regular,6.8,AA
background.intense,pistachio.intense,3.07,Fail
background.intense,pistachio.darken,1.31,Fail
background.intense,olive.faded,13.17,AAA
background.intense,olive.regular,8.49,AAA
background.intense,olive.intense,3.59,Fail
background.intense,olive.darken,1.32,Fail
background.intense,merigold.faded,13.42,AAA
background.intense,merigold.regular,7.98,AAA
background.intense,merigold.intense,4.65,AA
background.intense,merigold.darken,1.38,Fail
background.intense,orange.faded,11.8,AAA
background.intense,orange.regular,6.46,AA
background.intense,orange.intense,3.75,Fail
background.intense,orange.darken,1.26,Fail
background.intense,rose.faded,10.79,AAA
background.intense,rose.regular,4.11,Fail
background.intense,rose.intense,3.08,Fail
background.intense,rose.darken,1.18,Fail
background.intense,background.faded,1.27,Fail
background.intense,background.regular,1.05,Fail
background.intense,background.darken,1.06,Fail
background.intense,foreground.faded,14.56,AAA
background.intense,foreground.regular,16.14,AAA
background.intense,foreground.intense,12.79,AAA
background.intense,foreground.darken,7.86,AAA
background.darken,ocean.faded,12.41,AAA
background.darken,ocean.regular,4.49,Fail
background.darken,ocean.intense,2.33,Fail
background.darken,ocean.darken,1.29,Fail
background.darken,mauve.faded,11.81,AAA
background.darken,mauve.regular,5.61,AA
background.darken,mauve.intense,1.92,Fail
background.darken,mauve.darken,1.26,Fail
background.darken,pistachio.faded,14.14,AAA
background.darken,pistachio.regular,7.19,AAA
background.darken,pistachio.intense,3.25,Fail
background.darken,pistachio.darken,1.38,Fail
background.darken,olive.faded,13.92,AAA
background.darken,olive.regular,8.97,AAA
background.darken,olive.intense,3.8,Fail
background.darken,olive.darken,1.4,Fail
background.darken,merigold.faded,14.19,AAA
background.darken,merigold.regular,8.43,AAA
background.darken,merigold.intense,4.92,AA
background.darken,merigold.darken,1.46,Fail
background.darken,orange.faded,12.47,AAA
background.darken,orange.regular,6.83,AA
background.darken,orange.intense,3.96,Fail
background.darken,orange.darken,1.33,Fail
background.darken,rose.faded,11.41,AAA
background.darken,rose.regular,4.34,Fail
background.darken,rose.intense,3.26,Fail
background.darken,rose.darken,1.25,Fail
background.darken,background.faded,1.35,Fail
background.darken,background.regular,1.11,Fail
background.darken,background.intense,1.06,Fail
background.darken,foreground.faded,15.4,AAA
background.darken,foreground.regular,17.07,AAA
background.darken,foreground.intense,13.53,AAA
background.darken,foreground.darken,8.31,AAA
foreground.faded,ocean.faded,1.24,Fail
foreground.faded,ocean.regular,3.43,Fail
foreground.faded,ocean.intense,6.6,AA
foreground.faded,ocean.darken,11.95,AAA
foreground.faded,mauve.faded,1.3,Fail
foreground.faded,mauve.regular,2.74,Fail
foreground.faded,mauve.intense,8.01,AAA
foreground.faded,mauve.darken,12.18,AAA
foreground.faded,pistachio.faded,1.09,Fail
foreground.faded,pistachio.regular,2.14,Fail
foreground.faded,pistachio.intense,4.74,AA
foreground.faded,pistachio.darken,11.15,AAA
foreground.faded,olive.faded,1.11,Fail
foreground.faded,olive.regular,1.72,Fail
foreground.faded,olive.intense,4.05,Fail
foreground.faded,olive.darken,11.04,AAA
foreground.faded,merigold.faded,1.09,Fail
foreground.faded,merigold.regular,1.83,Fail
foreground.faded,merigold.intense,3.13,Fail
foreground.faded,merigold.darken,10.52,AAA
foreground.faded,orange.faded,1.23,Fail
foreground.faded,orange.regular,2.25,Fail
foreground.faded,orange.intense,3.88,Fail
foreground.faded,orange.darken,11.58,AAA
foreground.faded,rose.faded,1.35,Fail
foreground.faded,rose.regular,3.55,Fail
foreground.faded,rose.intense,4.72,AA
foreground.faded,rose.darken,12.3,AAA
foreground.faded,background.faded,11.44,AAA
foreground.faded,background.regular,13.9,AAA
foreground.faded,background.intense,14.56,AAA
foreground.faded,background.darken,15.4,AAA
foreground.faded,foreground.regular,1.11,Fail
foreground.faded,foreground.intense,1.14,Fail
foreground.faded,foreground.darken,1.85,Fail
foreground.regular,ocean.faded,1.38,Fail
foreground.regular,ocean.regular,3.8,Fail
foreground.regular,ocean.intense,7.32,AAA
foreground.regular,ocean.darken,13.24,AAA
foreground.regular,mauve.faded,1.45,Fail
foreground.regular,mauve.regular,3.04,Fail
foreground.regular,mauve.intense,8.87,AAA
foreground.regular,mauve.darken,13.5,AAA
foreground.regular,pistachio.faded,1.21,Fail
foreground.regular,pistachio.regular,2.37,Fail
foreground.regular,pistachio.intense,5.25,AA
foreground.regular,pistachio.darken,12.36,AAA
foreground.regular,olive.faded,1.23,Fail
foreground.regular,olive.regular,1.9,Fail
foreground.regular,olive.intense,4.49,Fail
foreground.regular,olive.darken,12.24,AAA
foreground.regular,merigold.faded,1.2,Fail
foreground.regular,merigold.regular,2.02,Fail
foreground.regular,merigold.intense,3.47,Fail
foreground.regular,merigold.darken,11.66,AAA
foreground.regular,orange.faded,1.37,Fail
foreground.regular,orange.regular,2.5,Fail
foreground.regular,orange.intense,4.3,Fail
foreground.regular,orange.darken,12.84,AAA
foreground.regular,rose.faded,1.5,Fail
foreground.regular,rose.regular,3.93,Fail
foreground.regular,rose.intense,5.24,AA
foreground.regular,rose.darken,13.64,AAA
foreground.regular,background.faded,12.68,AAA
foreground.regular,background.regular,15.4,AAA
foreground.regular,background.intense,16.14,AAA
foreground.regular,background.darken,17.07,AAA
foreground.regular,foreground.faded,1.11,Fail
foreground.regular,foreground.intense,1.26,Fail
foreground.regular,foreground.darken,2.05,Fail
foreground.intense,ocean.faded,1.09,Fail
foreground.intense,ocean.regular,3.02,Fail
foreground.intense,ocean.intense,5.8,AA
foreground.intense,ocean.darken,10.49,AAA
foreground.intense,mauve.faded,1.15,Fail
foreground.intense,mauve.regular,2.41,Fail
foreground.intense,mauve.intense,7.03,AAA
foreground.intense,mauve.darken,10.7,AAA
foreground.intense,pistachio.faded,1.05,Fail
foreground.intense,pistachio.regular,1.88,Fail
foreground.intense,pistachio.intense,4.16,Fail
foreground.intense,pistachio.darken,9.79,AAA
foreground.intense,olive.faded,1.03,Fail
foreground.intense,olive.regular,1.51,Fail
foreground.intense,olive.intense,3.56,Fail
foreground.intense,olive.darken,9.7,AAA
foreground.intense,merigold.faded,1.05,Fail
foreground.intense,merigold.regular,1.6,Fail
foreground.intense,merigold.intense,2.75,Fail
foreground.intense,merigold.darken,9.24,AAA
foreground.intense,orange.faded,1.08,Fail
foreground.intense,orange.regular,1.98,Fail
foreground.intense,orange.intense,3.41,Fail
foreground.intense,orange.darken,10.17,AAA
foreground.intense,rose.faded,1.19,Fail
foreground.intense,rose.regular,3.11,Fail
foreground.intense,rose.intense,4.15,Fail
foreground.intense,rose.darken,10.81,AAA
foreground.intense,background.faded,10.05,AAA
foreground.intense,background.regular,12.21,AAA
foreground.intense,background.intense,12.79,AAA
foreground.intense,background.darken,13.53,AAA
foreground.intense,foreground.faded,1.14,Fail
foreground.intense,foreground.regular,1.26,Fail
foreground.intense,foreground.darken,1.63,Fail
foreground.darken,ocean.faded,1.49,Fail
foreground.darken,ocean.regular,1.85,Fail
foreground.darken,ocean.intense,3.56,Fail
foreground.darken,ocean.darken,6.45,AA
foreground.darken,mauve.faded,1.42,Fail
foreground.darken,mauve.regular,1.48,Fail
foreground.darken,mauve.intense,4.32,Fail
foreground.darken,mauve.darken,6.58,AA
foreground.darken,pistachio.faded,1.7,Fail
foreground.darken,pistachio.regular,1.16,Fail
foreground.darken,pistachio.intense,2.56,Fail
foreground.darken,pistachio.darken,6.02,AA
foreground.darken,olive.faded,1.68,Fail
foreground.darken,olive.regular,1.08,Fail
foreground.darken,olive.intense,2.19,Fail
foreground.darken,olive.darken,5.96,AA
foreground.darken,merigold.faded,1.71,Fail
foreground.darken,merigold.regular,1.01,Fail
foreground.darken,merigold.intense,1.69,Fail
foreground.darken,merigold.darken,5.68,AA
foreground.darken,orange.faded,1.5,Fail
foreground.darken,orange.regular,1.22,Fail
foreground.darken,orange.intense,2.1,Fail
foreground.darken,orange.darken,6.25,AA
foreground.darken,rose.faded,1.37,Fail
foreground.darken,rose.regular,1.91,Fail
foreground.darken,rose.intense,2.55,Fail
foreground.darken,rose.darken,6.64,AA
foreground.darken,background.faded,6.18,AA
foreground.darken,background.regular,7.5,AAA
foreground.darken,background.intense,7.86,AAA
foreground.darken,background.darken,8.31,AAA
foreground.darken,foreground.faded,1.85,Fail
foreground.darken,foreground.regular,2.05,Fail
foreground.darken,foreground.intense,1.63,Fail
