Foreground,Background,Contrast Ratio,WCAG Level
ocean.darken,rose.regular,3.37,Fail
ocean.darken,rose.intense,2.53,Fail
ocean.darken,rose.darken,1.03,Fail
ocean.darken,background.faded,1.04,Fail
ocean.darken,background.regular,1.16,Fail
ocean.darken,background.intense,1.22,Fail
ocean.darken,background.darken,1.29,Fail
ocean.darken,foreground.faded,11.95,AAA
ocean.darken,foreground.regular,13.24,AAA
ocean.darken,foreground.intense,10.49,AAA
ocean.darken,foreground.darken,6.45,AA
mauve.faded,ocean.faded,1.05,Fail
mauve.faded,ocean.regular,2.63,Fail
mauve.faded,ocean.intense,5.06,AA
mauve.faded,ocean.darken,9.16,AAA
mauve.faded,mauve.regular,2.1,Fail
mauve.faded,mauve.intense,6.14,AA
mauve.faded,mauve.darken,9.34,AAA
mauve.faded,pistachio.faded,1.2,Fail
mauve.faded,pistachio.regular,1.64,Fail
mauve.faded,pistachio.intense,3.64,Fail
mauve.faded,pistachio.darken,8.55,AAA
mauve.faded,olive.faded,1.18,Fail
mauve.faded,olive.regular,1.32,Fail
mauve.faded,olive.intense,3.11,Fail
mauve.faded,olive.darken,8.47,AAA
mauve.faded,merigold.faded,1.2,Fail
mauve.faded,merigold.regular,1.4,Fail
mauve.faded,merigold.intense,2.4,Fail
mauve.faded,merigold.darken,8.07,AAA
mauve.faded,orange.faded,1.06,Fail
mauve.faded,orange.regular,1.73,Fail
mauve.faded,orange.intense,2.98,Fail
mauve.faded,orange.darken,8.88,AAA
mauve.faded,rose.faded,1.03,Fail
mauve.faded,rose.regular,2.72,Fail
mauve.faded,rose.intense,3.62,Fail
mauve.faded,rose.darken,9.44,AAA
mauve.faded,background.faded,8.78,AAA
mauve.faded,background.regular,10.66,AAA
mauve.faded,background.intense,11.17,AAA
mauve.faded,background.darken,11.81,AAA
mauve.faded,foreground.faded,1.3,Fail
mauve.faded,foreground.regular,1.45,Fail
mauve.faded,foreground.intense,1.15,Fail
mauve.faded,foreground.darken,1.42,Fail
mauve.regular,ocean.faded,2.21,Fail
mauve.regular,ocean.regular,1.25,Fail
mauve.regular,ocean.intense,2.41,Fail
mauve.regular,ocean.darken,4.36,Fail
mauve.regular,mauve.faded,2.1,Fail
mauve.regular,mauve.intense,2.92,Fail
mauve.regular,mauve.darken,4.44,Fail
mauve.regular,pistachio.faded,2.52,Fail
mauve.regular,pistachio.regular,1.28,Fail
mauve.regular,pistachio.intense,1.73,Fail
mauve.regular,pistachio.darken,4.07,Fail
mauve.regular,olive.faded,2.48,Fail
mauve.regular,olive.regular,1.6,Fail
mauve.regular,olive.intense,1.48,Fail
mauve.regular,olive.darken,4.02,Fail
mauve.regular,merigold.faded,2.53,Fail
mauve.regular,merigold.regular,1.5,Fail
mauve.regular,merigold.intense,1.14,Fail
mauve.regular,merigold.darken,3.84,Fail
mauve.regular,orange.faded,2.22,Fail
mauve.regular,orange.regular,1.22,Fail
mauve.regular,orange.intense,1.42,Fail
mauve.regular,orange.darken,4.22,Fail
mauve.regular,rose.faded,2.03,Fail
mauve.regular,rose.regular,1.29,Fail
mauve.regular,rose.intense,1.72,Fail
mauve.regular,rose.darken,4.49,Fail
mauve.regular,background.faded,4.17,Fail
mauve.regular,background.regular,5.07,AA
mauve.regular,background.intense,5.31,AA
mauve.regular,background.darken,5.61,AA
mauve.regular,foreground.faded,2.74,Fail
mauve.regular,foreground.regular,3.04,Fail
mauve.regular,foreground.intense,2.41,Fail
mauve.regular,foreground.darken,1.48,Fail
mauve.intense,ocean.faded,6.45,AA
mauve.intense,ocean.regular,2.33,Fail
mauve.intense,ocean.intense,1.21,Fail
mauve.intense,ocean.darken,1.49,Fail
mauve.intense,mauve.faded,6.14,AA
mauve.intense,mauve.regular,2.92,Fail
mauve.intense,mauve.darken,1.52,Fail
mauve.intense,pistachio.faded,7.35,AAA
mauve.intense,pistachio.regular,3.74,Fail
mauve.intense,pistachio.intense,1.69,Fail
mauve.intense,pistachio.darken,1.39,Fail
mauve.intense,olive.faded,7.24,AAA
mauve.intense,olive.regular,4.67,AA
mauve.intense,olive.intense,1.97,Fail
mauve.intense,olive.darken,1.38,Fail
mauve.intense,merigold.faded,7.38,AAA
mauve.intense,merigold.regular,4.38,Fail
mauve.intense,merigold.intense,2.56,Fail
mauve.intense,merigold.darken,1.31,Fail
mauve.intense,orange.faded,6.48,AA
mauve.intense,orange.regular,3.55,Fail
mauve.intense,orange.intense,2.06,Fail
mauve.intense,orange.darken,1.45,Fail
mauve.intense,rose.faded,5.93,AA
mauve.intense,rose.regular,2.26,Fail
mauve.intense,rose.intense,1.69,Fail
mauve.intense,rose.darken,1.54,Fail
mauve.intense,background.faded,1.43,Fail
mauve.intense,background.regular,1.74,Fail
mauve.intense,background.intense,1.82,Fail
mauve.intense,background.darken,1.92,Fail
mauve.intense,foreground.faded,8.01,AAA
mauve.intense,foreground.regular,8.87,AAA
mauve.intense,foreground.intense,7.03,AAA
mauve.intense,foreground.darken,4.32,Fail
mauve.darken,ocean.faded,9.81,AAA
mauve.darken,ocean.regular,3.55,Fail
mauve.darken,ocean.intense,1.84,Fail
mauve.darken,ocean.darken,1.02,Fail
mauve.darken,mauve.faded,9.34,AAA
mauve.darken,mauve.regular,4.44,Fail
mauve.darken,mauve.intense,1.52,Fail
mauve.darken,pistachio.faded,11.19,AAA
mauve.darken,pistachio.regular,5.69,AA
mauve.darken,pistachio.intense,2.57,Fail
mauve.darken,pistachio.darken,1.09,Fail
mauve.darken,olive.faded,11.02,AAA
mauve.darken,olive.regular,7.1,AAA
